id;name;dir
17868;Для того, чтобы помочь тебе понять;
1813;Намбака;the-numbers
1814;Ёрмунганд;jormungand
18347;Везучий парень;
1837;Тетрадь дружбы Нацумэ;
1842;Инуяша;inuyasha
1862;Секрет дворецкого!;
18646;Бездарная Нана;munou-no-nana
18836;Изгой из старшей школы;
18956;Пустоцвет;adabana
18996;Создатель злодейки;
19580;Тетрадь по трусикам;
19652;Убить злодейку;
1982;Магия Вернувшегося должна быть особенной;
1983;Однажды я стала принцессой;
2012;Джахи-сама не Будет Отчаиваться!;jahysama-wont-be-discouraged
208;Четыре рыцаря;
2114;Дракон-горничная Кобаяси-сан: Повседневность Канны;
2118;Дюрарара!!;durarara
2280;Я стал Повелителем Демонов и создал подземелье, чтобы проводить время с девушками-монстрами;i-became-the-demon-lord-so-i-created-a-dungeon-and-spend-heartwarming-time-there-with-nonhuman-girls
2285;Круши Кромсай;kill-la-kill
2340;Тирания вооруженных девушек;--
238;Токийский гуль;
242;Re:Zero. Жизнь с нуля в альтернативном мире — Глава третья. Правда «отката»;re_zero_kara_hajimeru_isekai_seikatsu_daisanshou_truth_of_zero
2444;Я требую яоя!;
2470;Доблесть рыцаря-неудачника;chivalry-of-a-failed-knight
2537;Узаки-тян хочет тусоваться!;uzakichan-wants-to-hang-out
255;Проблемные дети из другого мира? Z;problem_children_are_coming_from_another_world_arent_they_z
25657;Детектив уже мертва!;the-detective-is-already-dead
25946;Тихая война;
26308;Стоит ли мне учиться в универе?;
2648;Плод Грисаи;
266;Тёмный дворецкий;black_butler
2716;Удар крови;strike-the-blood
272;Атака титанов;
27358;Сегодня в универ;
280;Повседневная жизнь с девушкой-монстром;
285;В поисках божественного рецепта;
2876;Шамо;
292;Ускоренный мир;accel_world
294;Школа-тюрьма;prison_school
2991;Освободите эту Ведьму;release-that-witch
302;Военная хроника маленькой девочки;
310;Врата Штейна;steins_gate
324;Семь смертных грехов;
3325;Уж не зомби ли это?;is-this-a-zombie
333;Скитальцы;drifters
338;Убийца Акаме!;akame_ga_kill
358;Сильнейший в истории ученик Кэнити;strongest_disciple_kenichi
3600;Фиолетовый гиацинт;purple-hyacinth
365;История о повелителе тьмы из другого мира и магии порабощения;
371;Очень приятно, Бог;
3755;Заморозка;
376;Ясли в подземелье;dungeon_nursery
378;Богиня благословляет этот прекрасный мир;gifting_this_wonderful_world_with_blessings
379;Нет игры — нет жизни;no_game_no_life
3793;Глейпнир;gleipnir
383;Кошечка из Сакурасо;the_pet_girl_of_sakurasou
38384;Волчица и пряности;
385;Дневник будущего;future_diary
391;Скучный мир, где не существует понятия пошлых шуток;a_boring_world_where_the_concept_of_dirty_jokes_does_not_exist
392;Ёкай из секретной службы и я;youko_x_boku_ss
3977;Мукхян — Дарк Леди;mookhyang--dark-lady
398;Новый век: Евангелион;neon_genesis_evangelion
401;Любимый во Франксе;darling_in_the_franxx
403;Школа мертвецов;academy_apocalypsehighschool_of_the_dead
4032;Эта фарфоровая кукла влюбилась;the-dressup-doll-that-fell-in-love
405;Князь тьмы с задней парты;ichiban_ushiro_no_daimaou
406;Хроники Акаши - худшего магического преподавателя;akashic_records_of_bastard_magical_instructor
41966;Искаженные навыки фермера;
421;Мы не можем учиться!;we_cant_study
4211;Несносные пришельцы;those-obnoxious-aliens
4236;Перестрой мир;rebuild-world
4288;Данганронпа V3 Комикс-антология;new-danganronpa-v3-comic-anthology
4333;Драконий жемчуг;dragon-ball-kanzenban
4358;Девочка, которая видит это;child-that-can-see-it
436;Мастер дрочки Куросава;masturbation_master_kurosawa
43915;Я стала приемной дочерью главного героя;43915-i-became-the-male-leads-adopted-daughter-webtoon
4396;Моя дочь, отправившаяся в столицу, захотев стать авантюристом, достигла S-ранга;my-daughter-who-left-for-the-capital-to-become-an-adventurer-reached-s-rank
4413;Баскетболистка;the-basketball-girl
45240;Переполнение жидкостью;
453;Реинкарнация безработного ~История о приключениях в другом мире~;
45321;Демон и Ангел не могут ужиться!;demon-x-angel-cant-get-along
455;Одному лишь Богу ведомый мир;the_world_god_only_knows
458;Невероятные Приключения ДжоДжо Часть 2: Склонность к битвам;jojos_bizarre_adventure_part_2_battle_tendency
46904;Регрессия мага 8-го класса;
